x,y,z
3821352368431,75390793,42
3821351307077,75390753,42
3821348922383,75390700,42
3821346275120,75390628,42
3821343635021,75390556,42
3821342587606,75390477,43
3821340768178,75390428,42
3821339559872,75390378,42
3821338823685,75390338,42
3821339842310,75390327,42
3821339695945,75390320,43
3821340055375,75390318,43
3821340321268,75390318,42
3821339115568,75390360,42
3821338383485,75390366,42
3821337473901,75390367,42
3821336815749,75390367,43
3821336305460,75390363,43
3821333984145,75390362,42
3821333572931,75390362,42
3821333157873,75390362,43
3821333416665,75390361,43
3821333938484,75390356,43
3821333975221,75390360,43
3821333929430,75390364,43
3821333681646,75390367,43
3821333904547,75390372,43
3821333520690,75390372,43
3821333160804,75390372,43
3821332921032,75390373,43
3821333071826,75390368,43
3821332772648,75390370,43
3821332626088,75390372,43
3821332658592,75390380,43
3821332889375,75390387,43
3821333950339,75390393,43
3821335029606,75390396,43
3821336746573,75390402,43
3821338454485,75390407,43
3821341003455,75390419,43
3821342247912,75390425,43
3821343365351,75390431,43
3821344291740,75390435,43
3821345565965,75390436,43
3821346355044,75390437,43
3821346701837,75390437,43
3821347004532,75390436,43
3821347069084,75390438,43
3821347479582,75390439,43
3821348248728,75390443,43
3821349033508,75390446,43
3821349728919,75390452,43
3821350906935,75390468,43
3821351731058,75390468,43
3821352508543,75390467,43
3821353743750,75390470,43
3821355471790,75390473,43
3821356489958,75390472,43
3821357429765,75390470,43
3821358049226,75390472,43
3821359071432,75390478,43
3821359701705,75390477,43
3821360241828,75390477,43
3821360479385,75390480,43
3821360320514,75390486,43
3821360728407,75390486,43
3821361097998,75390486,43
3821361606594,75390480,43
3821362099947,75390477,43
3821361287093,75390468,43
3821361209970,75390470,43
3821361382129,75390475,43
3821361501853,75390480,43
3821361942965,75390502,43
3821362160135,75390511,43
3821362034158,75390520,43
3821361943226,75390528,43
3821361330019,75390537,43
3821361277453,75390543,43
3821361848581,75390552,43
3821362459182,75390560,43
3821363468036,75390569,43
3821363807794,75390574,43
3821363902440,75390584,43
3821363948557,75390593,43
3821363930970,75390598,43
3821363148535,75390603,42
3821363739400,75390609,43
3821364351630,75390615,43
3821364562220,75390622,42
3821364916830,75390637,42
3821365376246,75390641,42
3821365853576,75390644,43
3821366360413,75390647,43
3821367327904,75390648,42
3821367762308,75390652,42
3821368167009,75390655,43
3821369240414,75390658,42
3821371459918,75390662,42
3821372186660,75390665,43
3821372955351,75390667,42
3821373551556,75390665,43
3821374169844,75390663,43
3821374685670,75390663,43
3821375313012,75390664,43
3821375838478,75390662,43
3821376279135,75390661,43
3821376244417,75390657,43
3821376638305,75390655,43
3821376929080,75390654,42
3821377244802,75390652,42
3821377267991,75390641,42
3821377807593,75390635,42
3821378595108,75390633,42
3821379508665,75390630,42
3821380758919,75390626,42
3821381622255,75390622,43
3821382340855,75390622,43
3821382917454,75390623,43
3821383567985,75390621,42
3821384024145,75390623,43
3821383818700,75390625,42
3821383585703,75390628,42
3821383510143,75390630,42
3821382763729,75390637,43
3821382705887,75390638,43
3821382656708,75390638,42
3821383227706,75390638,42
3821384237276,75390636,43
3821384372697,75390632,43
3821384424351,75390626,42
3821384634225,75390623,42
3821385167378,75390611,42
3821385173370,75390608,42
3821385268276,75390604,42
3821385423695,75390599,42
3821385720918,75390595,42
3821387013252,75390584,43
3821388291841,75390576,43
3821389676995,75390570,43
3821390948224,75390564,43
3821392378063,75390560,43
3821393147796,75390555,43
3821393873170,75390556,44
3821394499730,75390556,44
3821394783795,75390574,44
3821395133260,75390575,45
3821395091637,75390569,45
3821395017184,75390562,45
3821394249926,75390532,46
3821394302167,75390518,46
3821394123429,75390511,46
3821393944626,75390504,47
3821394224979,75390491,47
3821394522137,75390478,48
3821394704783,75390464,48
3821394858574,75390449,49
3821395055355,75390437,49
3821396268676,75390424,50
3821396063231,75390408,51
3821395920254,75390392,52
3821396026038,75390381,52
3821396069485,75390374,53
3821396116188,75390366,54
3821395891203,75390361,54
3821395420061,75390350,55
3821395074961,75390337,56
3821394942667,75390321,56
3821394902542,75390304,57
3821394821119,75390288,58
3821394868865,75390270,59
3821395359548,75390238,59
3821395184197,75390220,60
3821395763272,75390205,60
3821396227900,75390193,60
3821397503623,75390203,60
3821397359538,75390206,61
3821397248152,75390209,61
3821396962588,75390213,61
3821396740078,75390222,61
3821395844434,75390228,61
3821394730643,75390238,61
3821393413297,75390249,61
3821389972786,75390258,61
3821387485696,75390264,61
3821384859276,75390261,61
3821382225757,75390258,61
3821379004890,75390255,61
3821374265010,75390224,61
3821370893024,75390221,61
3821367744460,75390216,61
3821364477150,75390213,61
3821360155976,75390201,61
3821357847103,75390205,61
3821355692997,75390210,61
3821353213919,75390213,61
3821351449793,75390227,61
3821348871836,75390231,61
3821346178195,75390236,61
3821343861375,75390240,61
3821341490816,75390245,61
3821339332998,75390253,61
3821337080208,75390262,61
3821334900634,75390269,61
3821332673248,75390276,61
3821331756304,75390284,61
3821330054840,75390287,61
3821327796775,75390287,61
3821324837566,75390273,61
3821319840783,75390238,61
3821315508276,75390190,61
3821311733217,75390151,61
3821308615268,75390123,61
3821306973145,75390098,61
3821305050669,75390078,61
3821304054843,75390067,61
3821303220624,75390059,61
3821305222567,75390071,61
3821305038423,75390074,61
3821305481164,75390084,61
3821305994971,75390095,61
3821305396290,75390101,61
3821305353494,75390128,61
3821304530153,75390136,61
3821303831746,75390143,61
3821303631903,75390147,61
3821302823088,75390160,61
3821302921446,75390164,61
3821303077255,75390167,61
3821303543446,75390165,61
3821304262893,75390155,61
3821303660499,75390132,61
3821302479486,75390098,61
3821300544113,75390060,61
3821298026604,75390009,61
3821295081986,75389944,61
3821291883266,75389873,61
3821288440540,75389784,61
3821284751007,75389690,61
3821282755838,75389555,61
3821278585132,75389445,61
3821273459442,75389314,61
3821268046038,75389183,61
3821264363670,75389021,61
3821258561329,75388873,61
3821251721799,75388729,61
3821244362339,75388579,61
3821237027306,75388406,61
3821229454390,75388239,61
3821221865841,75388052,61
3821214291036,75387870,61
3821207302601,75387644,61
3821198616090,75387450,61
3821189314158,75387239,61
3821179628173,75387024,60
3821170068360,75386824,61
3821160755940,75386602,61
3821150703229,75386398,61
3821139904952,75386181,61
3821128965847,75385965,61
3821117603672,75385744,61
3821104814134,75385503,61
3821092263129,75385269,61
3821079280392,75385016,61
3821066717924,75384743,61
3821053398685,75384495,61
3821040678974,75384257,61
3821027972160,75384007,61
3821018244748,75383797,61
3821008282058,75383602,61
3821001230114,75383469,61
3820995792023,75383379,61
3820991683654,75383312,61
3820986493738,75383344,61
3820983224083,75383334,61
3820981389803,75383346,61
3820980197522,75383366,61
3820973873166,75383504,61
3820971629822,75383537,60
3820968727935,75383544,60
3820966047125,75383553,60
3820958148520,75383528,61
3820955513828,75383536,61
3820952680727,75383540,61
3820950246007,75383544,61
3820946704598,75383504,61
3820945833836,75383503,61
3820945065992,75383506,61
3820944638688,75383508,61
3820945438841,75383511,61
3820947376298,75383504,61
3820948381113,75383517,61
3820949555156,75383529,61
3820950865858,75383532,61
3820952772441,75383544,61
3820954023346,75383547,61
3820955238035,75383549,61
3820955766433,75383550,61
3820955455204,75383554,61
3820956455851,75383552,61
3820957331693,75383550,61
3820958214310,75383549,61
3820960241266,75383538,61
3820960466382,75383537,61
3820960571906,75383537,61
3820960662187,75383539,61
3820960678992,75383542,61
3820961767835,75383549,61
3820962079845,75383553,61
3820962296363,75383558,61
3820962455038,75383562,61
3820963523819,75383549,61
3820963827621,75383546,61
3820964255576,75383550,61
3820964672979,75383552,61
3820966235894,75383539,61
3820966617732,75383535,61
3820966816142,75383533,61
3820966755824,75383533,61
3820967140397,75383532,61
3820966790608,75383535,61
3820965995145,75383537,61
3820965080220,75383537,61
